0	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r1	 	1	2	3	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	 	s27	 	 	 	 	s74	 	 	s28	s29	s30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	72	 	73	 	 	 	31	71
64	 	 	 	 	 	 	s74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 
65	 	 	r39	r39	 	r39	 	 	 	 	 	 	 	 	r39	r39	r39	r39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	 	 	r40	r40	 	r40	 	 	 	 	 	 	 	 	r40	r40	r40	r40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	 	 	r41	r41	 	r41	 	 	 	 	 	 	 	 	r41	r41	r41	r41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	 	 	r42	r42	 	r42	 	 	 	 	 	 	 	 	r42	r42	r42	r42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	 	 	r38	r38	 	r38	 	 	 	 	 	 	 	 	r38	r38	r38	r38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	 	 	 	s62	 	r30	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	76	 	 	 
71	r25	r25	 	 	 	 	 	r25	 	r25	r25	r25	78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	77	 	 	 	 	 	 
72	r36	r36	 	 	 	 	 	r36	 	r36	r36	r36	r36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	r37	r37	 	 	 	 	 	r37	 	r37	r37	r37	r37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	 	s27	 	 	 	 	 	r18	 	s28	s29	s30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	79	80	 	 	 	 	 	31	 
75	r22	r22	 	 	 	 	 	r22	 	r22	r22	r22	r22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	r21	r21	 	 	 	 	 	r21	 	r21	r21	r21	r21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	 	s27	 	 	 	 	s74	 	 	s28	s29	s30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	72	 	73	 	 	 	31	81
79	 	 	 	 	 	 	 	s82	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
80	 	s27	 	 	 	 	 	r18	 	s28	s29	s30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	83	80	 	 	 	 	 	31	 
81	r26	r26	 	 	 	 	 	r26	 	r26	r26	r26	r26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
82	r27	r27	 	 	 	 	 	r27	 	r27	r27	r27	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
83	 	 	 	 	 	 	 	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
